Line #,Project,Description,Designator,Quantity,Manufacturer,Part Number,Purchasing Link
"27","P01-BASE.PcbDoc","CONN HDR 18POS 0.1 GOLD PCB R/A","J13","1","Sullins","PPPC092LJBN-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC092LJBN-RC/776020"
"28","P01-BASE.PcbDoc","CONN HDR 11POS 0.1 GOLD PCB","J14","1","Sullins","PPPC111LFBN-RC","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC111LFBN-RC/810183"
"29","P01-RADIO.PcbDoc","FIXED IND 10UH 50MA 1.17 OHM SMD","L2","1","Murata","LQM18FN100M00D","https://www.digikey.com/en/products/detail/murata-electronics/LQM18FN100M00D/1016184"
"30","P01-RADIO.PcbDoc","FIXED IND 15NH 560MA 172MOHM SMD","L3","1","Delta","0402HS-150EKTS","https://www.digikey.com/en/products/detail/delta-electronics-components/0402HS-150EKTS/9762739"
"31","P01-AUDIO.PcbDoc","MIC COND ANLG OMNI -44DB 0.382""D","MK1","1","CUI Devices","CMA-4544PF-W","https://www.digikey.com/en/products/detail/cui-devices/CMA-4544PF-W/1869981"
"32","P01-SERVO.PcbDoc","RES ARRAY 8 RES 220 OHM 1506","R1, R2","2","Panasonic","EXB-2HV221JV","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EXB-2HV221JV/285311"
"33","P01-BASE.PcbDoc, P01-AUDIO.PcbDoc","RES 2.2K OHM 1% 1/8W 0805","R1, R2, R3, R4","5","Yageo","RC0805FR-072K2L","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676"
"34","P01-AUDIO.PcbDoc, P01-RADIO.PcbDoc, P01-LEDS.PcbDoc, P01-SERVO.PcbDoc, P01-BASE.PcbDoc","RES 330 OHM 1% 1/4W 0805","R1, R2, R4, R5, R6","7","Yageo","RC0805FR-7W330RL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-7W330RL/12698865"
"35","P01-RADIO.PcbDoc, P01-LEDS.PcbDoc, P01-SERVO.PcbDoc, P01-BASE.PcbDoc","RES 10K OHM 1% 1/8W 0805","R1, R3, R5, R7","5","Yageo","RC0805FR-0710K(L)","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535"
"36","P01-AUDIO.PcbDoc","RES 100K OHM 1% 1/4W 0805","R2","1","Yageo","RC0805FR-7W100KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-7W100KL/16982223"
"37","P01-AUDIO.PcbDoc","RES 150K OHM 1% 1/8W 0805","R3","1","Yageo","RC0805FR-07150KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07150KL/727614"
"38","P01-RADIO.PcbDoc","RES SMD 43K OHM 0.1% 1/8W 0805","R3, R4, R6","3","Yageo","RT0805BRD0743KL","https://www.digikey.com/en/products/detail/yageo/RT0805BRD0743KL/1075897"
"39","P01-AUDIO.PcbDoc","RES 20K OHM 1% 1/8W 0805","R5","1","Yageo","RC0805FR-0720KL","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0720KL/727720"
"40","P01-LEDS.PcbDoc","RES 2.87K OHM 1% 1/8W 0805","R7","1","Yageo","RC0805FR-072K87L","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K87L/727714"
"41","P01-BASE.PcbDoc","THUMBSTICK DUAL AXIS W/MOM PB","SW1","1","ITT C&K","THB001P","https://www.digikey.com/en/products/detail/c-k/THB001P/11687191"
"42","P01-LEDS.PcbDoc","SWITCH TACTILE SPST-NO 0.05A 12V","SW1, SW2, SW3, SW4","4","E-Switch","TL9210AF260Q","https://www.digikey.com/en/products/detail/e-switch/TL9210AF260Q/4965616"
"43","P01-SERVO.PcbDoc","IC LED DRVR LIN PWM 25MA 28TSSOP","U1","1","NXP Semiconductors","PCA9685PW-118","https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9685PW-118/2034325"
"44","P01-LEDS.PcbDoc","IC LED DRV LIN PWM 65MA 38HTSSOP","U1","1","NXP Semiconductors","PCA9956BTWY","https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9956BTWY/5361188"
